SETNO,START_SET,END_SET,LONGITUDE_START,LATITUDE_START,LONGITUDE_FINISH,LATITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SET_DIST,SET_SECS,SET_SPEED,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2015001.02.D,2015-10-27T10:53:00Z,2015-10-27T11:13:00Z,-66.8871,44.9563,-66.8803,44.922,100,105,1683.746980848438,1200,5.051240942545314,2.9,94.36,11
BOF2015001.021.D,2015-10-27T11:36:00Z,2015-10-27T11:56:00Z,-66.8658,44.9282,-66.8585,44.9421,87,97,1017.1247696660007,1200,3.0513743089980023,2.8,91.28,11.04
BOF2015001.022.B,2015-10-27T01:13:00Z,2015-10-27T01:33:00Z,-66.9359,45.0783,-66.9555,45.0832,68,55,2196.2841100982105,1200,6.588852330294632,2.8,70.21,10.96
BOF2016001.001.C,2016-07-07T13:25:00Z,2016-07-07T13:44:00Z,-67.0132,45.0098,-67.0264,45.0153,38,31,1491.4813748116946,1140,4.709941183615878,2.7,33.8,10.88
BOF2016001.002.D,2016-07-08T09:58:00Z,2016-07-08T10:18:00Z,-66.7824,45.0037,-66.8009,44.9974,49,52,2081.6320321313588,1200,6.2448960963940765,2.7,50.4,9.79
BOF2016001.003.D,2016-07-08T11:40:00Z,2016-07-08T12:06:00Z,-66.8409,44.9282,-66.8397,44.9162,94,91,543.5998548206471,1560,1.2544612034322626,2.5,95.24,8.96
BOF2016001.004.B,2016-07-08T13:21:00Z,2016-07-08T12:00:00Z,-66.943,45.0931,-66.9484,45.0798,39,66,837.0970709465457,-4860,-0.6200719044048486,2.7,56.98,10.68
BOF2016001.005.A,2016-08-15T09:23:00Z,2016-08-15T09:37:00Z,-67.071,45.049,-67.0758,45.0564,31,30,624.5962620583516,840,2.6768411231072213,2.3,29.87,13.32
BOF2016001.006.D,2016-08-15T11:18:00Z,2016-08-15T11:39:00Z,-66.8853,44.8965,-66.883,44.907,60,73,526.8421952660119,1260,1.5052634150457485,2.3,62.58,11.41
BOF2016001.007.D,2016-08-15T13:10:00Z,2016-08-15T13:29:00Z,-66.7893,45.0005,-66.774,45.0011,52,52,1706.4406711153426,1140,5.38876001404845,1.9,53.74,11.02
BOF2016001.008.A,2016-08-16T08:43:00Z,2016-08-16T08:54:00Z,-67.0996,45.0893,-67.1028,45.9421,28,28,37045.77421536813,660,202.06785935655344,2,28.02,13.61
BOF2016001.009.C,2016-08-16T09:53:00Z,2016-08-16T10:12:00Z,-66.9978,45.0169,-67.0044,45.0068,34,41,857.8095022647784,1140,2.7088721124150896,2.3,36.58,13.34
BOF2016001.01.D,2016-08-16T11:16:00Z,2016-08-16T11:39:00Z,-66.8672,44.9844,-66.856,44.9932,72,62,1307.3180805059721,1380,3.4103949926242754,2.1,69.97,11.21
BOF2016001.011.B,2016-08-16T12:50:00Z,2016-08-16T13:03:00Z,-66.9485,45.0981,-66.9575,45.1021,36,34,1018.8007830903663,780,4.702157460417076,2.1,35.28,13.53
BOF2016001.012.C,2016-08-29T09:39:00Z,2016-08-29T10:02:00Z,-66.982,45.0257,-66.9874,45.0156,33,36,746.326126253709,1380,1.9469377206618497,2,34.77,13.86
BOF2016001.013.C,2016-08-29T11:07:00Z,2016-08-29T11:30:00Z,-67.017,44.9951,-67.0085,45.0038,55,46,1021.0036966915986,1380,2.6634879044128663,2.1,53.82,13.83
BOF2016001.014.B,2016-08-29T13:05:00Z,2016-08-29T13:22:00Z,-66.9406,45.0798,-66.9418,45.0878,67,51,374.52687610605176,1020,1.3218595627272416,2,62.84,13.72
BOF2016001.015.A,2016-08-30T08:57:00Z,2016-08-30T09:09:00Z,-67.0982,45.0909,-67.102,45.0959,28,26,476.20724333084,720,2.3810362166542,2,25.76,14.09
BOF2016001.016.D,2016-08-30T11:22:00Z,2016-08-30T11:43:00Z,-66.8924,44.8955,-66.8882,44.9049,44,40,623.7182899544915,1260,1.782052257012833,2,44.97,11.96
BOF2016001.017.D,2016-08-30T13:22:00Z,2016-08-30T13:33:00Z,-66.783,44.9934,-66.7751,44.9917,60,61,884.16947529622,660,4.822742592524836,2,61.36,11.33
BOF2016001.018.D,2016-08-31T10:05:00Z,2016-08-31T10:10:00Z,-66.7808,45.0227,-66.7761,45.0212,41,42,528.2798931945547,300,6.3393587183346565,2,41.41,12.97
BOF2016001.019.D,2016-08-31T11:00:00Z,2016-08-31T11:33:00Z,-66.7383,45.0054,-66.7584,44.9984,56,58,2262.6454280101184,1980,4.1139007782002155,2,57.17,11.29
BOF2016001.02.D,2016-08-31T13:07:00Z,2016-08-31T13:29:00Z,-66.867,44.9271,-66.8708,44.9374,84,82,619.3718591714579,1320,1.6891959795585216,2,84.98,11.77
BOF2016001.021.C,2016-11-01T09:24:00Z,2016-11-01T09:26:00Z,-67.0238,45.0178,-67.0242,45.0178,25,28,44.60886129151914,120,1.3382658387455741,1.4,20.12,10.8
BOF2016001.022.C,2016-11-01T09:47:00Z,2016-11-01T10:07:00Z,-67.0134,45.0206,-66.9978,45.0268,28,27,1760.626736475261,1200,5.2818802094257835,2,27.85,11.22
BOF2016001.023.B,2016-11-01T11:05:00Z,2016-11-01T11:25:00Z,-66.9372,45.0713,-66.9469,45.0802,79,68,1149.6179773996957,1200,3.4488539321990874,2,82.16,11.41
BOF2016001.024.A,2016-11-02T09:17:00Z,2016-11-02T09:27:00Z,-67.1082,45.1076,-67.1053,45.1013,27,27,423.62225384777634,600,2.541733523086658,2,26.4,11.08
BOF2016001.025.D,2016-11-02T11:23:00Z,2016-11-02T11:44:00Z,-66.8925,44.9383,-66.8904,44.9261,71,69,583.5864095168505,1260,1.6673897414767156,1.9,79.97,11.53
BOF2016001.026.B,2016-11-02T13:15:00Z,2016-11-02T13:27:00Z,-66.9375,45.1227,-66.9456,45.1263,18,18,916.9320810608368,720,4.584660405304184,2,17.53,11.19
BOF2017001.001.D,2017-07-06T11:05:00Z,2017-07-06T11:20:00Z,-66.7359,45.0122,-66.7278,45.0059,54,58,945.056775920303,900,3.780227103681212,2,89.52,8.09
