UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2013001.01.D,Microgadus tomcod,Atlantic tomcod,1,18,NA
BOF2013001.011.D,Myoxocephalus octodecemspinosus,longhorn sculpin,2,75,NA
BOF2013001.012.D,Pandalus montagui,Montague shrimp,107,443,NA
BOF2013001.013.D,Placopecten magellanicus,deep sea scallop,2,16,NA
BOF2013001.014.D,Pseudopleuronectes americanus,winter flounder,137,12e3,NA
BOF2013001.015.D,Urophycis chuss,red hake,5,423,NA
BOF2013001.016.B,Asterias vulgaris,northern sea star,1,5,NA
BOF2013001.017.B,Aurelia aurita,moon jelly,7,176,NA
BOF2013001.018.B,Ciona intestinalis,sea vase,1,7,NA
BOF2013001.019.B,Crangon septemspinosa,sand shrimp,1,1,NA
BOF2013001.02.B,Cucumaria frondosa,orange-footed sea cucumber,331,67786.04167,NA
BOF2013001.021.B,Hemitripterus americanus,sea raven,3,2756,NA
BOF2013001.022.B,Homarus americanus,American lobster,131,30310.78,NA
BOF2013001.023.B,Doryteuthis pealeii,longfin inshore squid,2,94,NA
BOF2013001.024.B,Lebbeus groenlandicus,Greenland shrimp,1,2,NA
BOF2013001.025.B,Lepiodonotus squamatus,scale worm,1,1,NA
BOF2013001.026.B,Leucoraja erinacea,little skate,5,1345.2,NA
BOF2013001.001.B,Leucoraja ocellata,winter skate,1,1249,NA
BOF2013001.002.B,Melanogrammus aeglefinus,haddock,3,76,NA
BOF2013001.003.B,Merluccius bilinearis,silver hake,132,4442,NA
BOF2013001.004.B,Microgadus tomcod,Atlantic tomcod,1,8,NA
BOF2013001.005.B,Myoxocephalus octodecemspinosus,longhorn sculpin,55,3173.958333,NA
BOF2013001.006.B,Myoxocephalus scorpius,shorthorn sculpin,1,1.5,NA
BOF2013001.007.B,Pandalus borealis,northern shrimp,74,720,NA
BOF2013001.008.B,Pandalus montagui,Montague shrimp,4476,24976.08,NA
BOF2013001.009.B,Placopecten magellanicus,deep sea scallop,7,23,NA
BOF2013001.01.B,Pseudopleuronectes americanus,winter flounder,25,1193,NA
BOF2013001.011.B,Scophthalmus aquosus,windowpane flounder,2,58,NA
BOF2013001.012.B,Sebastes fasciatus,Acadian redfish,2,385,NA
BOF2013001.013.B,Squalus acanthias,spiny dogfish,1,1882,NA
BOF2013001.014.B,Strongylocentrotus droebachiensis,green sea urchin,212,1970,NA
BOF2013001.015.B,Urophycis chuss,red hake,106,6050.48,NA
BOF2013001.016.B,Urophycis tenuis,white hake,1,11,NA
BOF2013001.017.B,Zoarces americanus,ocean pout,1,34,NA
