UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2014001.01.C,Merluccius bilinearis,silver hake,611,69680,NA
BOF2014001.011.C,Pseudopleuronectes americanus,winter flounder,1514,114309,NA
BOF2014001.012.C,Pseudopleuronectes americanus,winter flounder,211,9771,NA
BOF2014001.013.C,Placopecten magellanicus,deep sea scallop,6,216,NA
BOF2014001.014.C,Melanogrammus aeglefinus,haddock,12,474,NA
BOF2014001.015.C,Osmerus mordax,smelt,2,81,NA
BOF2014001.016.C,Peprilus triacanthus,butterfish,4,361,NA
BOF2014001.017.C,Hemitripterus americanus,sea raven,1,49,NA
BOF2014001.018.C,Urophycis tenuis,white hake,1,53,NA
BOF2014001.019.C,Urophycis chuss,red hake,1,94,NA
BOF2014001.02.C,Clupea harengus,herring,1,32,NA
BOF2014001.001.C,Hippoglossoides platessoides,American plaice,2,65,NA
BOF2014001.002.C,Leucoraja erinacea,little skate,3,148,NA
BOF2014001.003.C,Pandalus montagui,Montague shrimp,11,40,NA
BOF2014001.004.C,Asterias vulgaris,northern sea star,1,48,NA
BOF2014001.005.C,Pseudopleuronectes americanus,winter flounder,38,1721,NA
BOF2014001.006.C,Homarus americanus,American lobster,256,134712,NA
BOF2014001.007.C,Cancer borealis,Jonah crab,1,186,NA
BOF2014001.008.C,Urophycis tenuis,white hake,6,439,NA
BOF2014001.009.C,Myoxocephalus octodecemspinosus,longhorn sculpin,11,911,NA
BOF2014001.01.C,Alosa pseudoharengus,alewife,87,3632,NA
BOF2014001.011.C,Merluccius bilinearis,silver hake,61,6025,NA
BOF2015001.012.C,Crangon septemspinosa,sand shrimp,10,28,NA
BOF2015001.013.C,Asterias vulgaris,northern sea star,1,122,NA
BOF2015001.014.C,Doryteuthis pealeii,longfin inshore squid,2,16,NA
BOF2015001.015.C,Mercenaria mercenaria,quahog,6,50,NA
BOF2015001.016.C,Homarus americanus,American lobster,21,10877,NA
BOF2015001.017.C,Alosa pseudoharengus,alewife,30,780,NA
BOF2015001.018.C,Osmerus mordax,smelt,48,1182,NA
BOF2015001.019.C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,82,NA
BOF2015001.02.D,Merluccius bilinearis,silver hake,124,4685,NA
BOF2015001.021.D,Hemitripterus americanus,sea raven,3,2475,NA
BOF2015001.022.D,Enchelyopus cimbrius,fourbeard rockling,10,465,NA
BOF2015001.001.D,Myoxocephalus octodecemspinosus,longhorn sculpin,3,337,NA
BOF2015001.002.D,Urophycis chuss,red hake,4,274,NA
BOF2015001.003.D,Doryteuthis pealeii,longfin inshore squid,1,8,NA
BOF2015001.004.D,Alosa pseudoharengus,alewife,1,76,NA
BOF2015001.005.D,Zoarces americanus,ocean pout,1,341,NA
BOF2015001.006.D,Cancer irroratus,rock crab,1,191,NA
BOF2015001.007.D,Melanogrammus aeglefinus,haddock,4,240,NA
BOF2015001.008.D,Sebastes fasciatus,Acadian redfish,1,291,NA
BOF2015001.009.D,Aspidophoroides monopterygius,Atlantic alligatorfish,3,7,NA
BOF2015001.01.D,Pandalus montagui,Montague shrimp,913,4291,NA
BOF2015001.011.D,Aurelia aurita,moon jelly,5,393,NA
BOF2015001.012.D,Bathypolypus arcticus,deep sea octopus,1,58,NA
BOF2015001.013.D,Homarus americanus,American lobster,155,96087,NA
BOF2015001.014.D,Pseudopleuronectes americanus,winter flounder,15,1474,NA
BOF2015001.015.D,Clupea harengus,herring,8,254,NA
BOF2015001.016.A,Cyclopterus lumpus,lumpfish,2,229,NA
BOF2015001.017.A,Alosa pseudoharengus,alewife,3,85,NA
BOF2015001.018.A,Merluccius bilinearis,silver hake,2,59,NA
BOF2015001.019.A,Myoxocephalus octodecemspinosus,longhorn sculpin,1,71,NA
BOF2015001.02.A,Cucumaria frondosa,orange-footed sea cucumber,5,938,NA
BOF2015001.021.A,Metridium senile,frilled anemone,1,22,NA
BOF2015001.022.A,Strongylocentrotus droebachiensis,green sea urchin,3,125,NA
BOF2015001.023.A,Crangon septemspinosa,sand shrimp,1,1,NA
BOF2015001.024.A,Aurelia aurita,moon jelly,946,86014,NA
BOF2015001.025.A,Homarus americanus,American lobster,5,2602,NA
BOF2015001.026.A,Osmerus mordax,smelt,5,141,NA
BOF2015001.001.A,Pseudopleuronectes americanus,winter flounder,8,242,NA
BOF2015001.002.B,Homarus americanus,American lobster,58,30506,NA
BOF2015001.003.B,Pseudopleuronectes americanus,winter flounder,31,1629,NA
BOF2015001.004.B,Merluccius bilinearis,silver hake,10,404,NA
BOF2015001.005.B,Scomber scombrus,mackerel,1,136,NA
BOF2015001.006.B,Peprilus triacanthus,butterfish,2,89,NA
BOF2015001.007.B,Asterias vulgaris,northern sea star,3,208,NA
BOF2015001.008.B,Clupea harengus,herring,327,4661,NA
BOF2015001.009.B,Aurelia aurita,moon jelly,72,6575,NA
BOF2015001.01.B,Alosa pseudoharengus,alewife,50,4681,NA
BOF2015001.011.B,Osmerus mordax,smelt,139,3228,NA
BOF2015001.012.B,Doryteuthis pealeii,longfin inshore squid,113,1919,NA
BOF2015001.013.B,Myoxocephalus octodecemspinosus,longhorn sculpin,1,68,NA
BOF2015001.014.B,Scophthalmus aquosus,windowpane flounder,1,84,NA
BOF2015001.015.B,Crangon septemspinosa,sand shrimp,47,157,NA
BOF2015001.016.B,Pandalus montagui,Montague shrimp,8,29,NA
BOF2015001.017.B,Melanogrammus aeglefinus,haddock,1,6,NA
BOF2015001.018.B,Glyptocephalus cynoglossus,witch flounder,1,18,NA
BOF2015001.019.B,Urophycis tenuis,white hake,4,162,NA
BOF2015001.02.B,Boltenia ovifera,stalked sea squirt,1,20,NA
BOF2015001.021.D,Lophius americanus,monkfish,1,502,NA
BOF2015001.022.D,Alosa pseudoharengus,alewife,66,6390,NA
BOF2015001.001.D,Bolinopsis infundibulum,comb jelly,2,3,NA
BOF2015001.002.D,Aurelia aurita,moon jelly,7,608,NA
BOF2015001.003.D,Pseudopleuronectes americanus,winter flounder,50,8749,NA
BOF2015001.004.D,Urophycis chuss,red hake,5,653,NA
BOF2015001.005.D,Asterias vulgaris,northern sea star,12,1125,NA
BOF2015001.006.D,Ctenodiscus crispatus,mud star,49,317,NA
BOF2015001.007.D,Ophiopholis aculeata,daisy brittle star,36,39,NA
BOF2015001.001.D,Doryteuthis pealeii,longfin inshore squid,8,63,NA
BOF2015001.002.D,Urophycis tenuis,white hake,2,10,NA
BOF2015001.003.D,Melanogrammus aeglefinus,haddock,1,5,NA
BOF2015001.004.D,Osmerus mordax,smelt,1,13,NA
BOF2015001.005.D,Cancer irroratus,rock crab,1,39,NA
BOF2015001.006.D,Pandalus montagui,Montague shrimp,98,380,NA
BOF2015001.007.D,Cyclopterus lumpus,lumpfish,2,1273,NA
BOF2015001.008.D,Homarus americanus,American lobster,5,1856,NA
BOF2015001.009.D,Clupea harengus,herring,66,1064,NA
BOF2015001.001.A,Homarus americanus,American lobster,24,15370,NA
BOF2015001.002.A,Merluccius bilinearis,silver hake,15,651,NA
BOF2015001.003.A,Melanogrammus aeglefinus,haddock,5,153,NA
BOF2015001.004.A,Zoarces americanus,ocean pout,1,93,NA
BOF2015001.005.A,Scomber scombrus,mackerel,1,173,NA
BOF2015001.006.A,Peprilus triacanthus,butterfish,26,755,NA
BOF2015001.007.A,Pseudopleuronectes americanus,winter flounder,17,564,NA
BOF2015001.008.A,Cyclopterus lumpus,lumpfish,2,270,NA
BOF2015001.009.A,Cancer irroratus,rock crab,1,42,NA
BOF2015001.01.A,Placopecten magellanicus,deep sea scallop,4,25,NA
BOF2015001.011.A,Hyas araneus,Atlantic lyre crab,2,43,NA
BOF2015001.012.A,Clinocardium ciliatum,Iceland cockle,8,28,NA
BOF2015001.001.A,Pandalus montagui,Montague shrimp,49,175,NA
BOF2015001.002.A,Strongylocentrotus droebachiensis,green sea urchin,9,265,NA
BOF2015001.003.A,Urticina felina,northern red anemone,7,217,NA
BOF2015001.004.A,Sclerocrangon boreas,sculptured shrimp,9,70,NA
BOF2015001.005.A,Cucumaria frondosa,orange-footed sea cucumber,17,3565,NA
BOF2015001.006.A,Aurelia aurita,moon jelly,3,68,NA
BOF2015001.007.A,Crangon septemspinosa,sand shrimp,8,40,NA
BOF2015001.008.A,Osmerus mordax,smelt,285,6578,NA
BOF2015001.009.A,Clupea harengus,herring,163,2927,NA
BOF2015001.01.A,Alosa pseudoharengus,alewife,315,11014,NA
BOF2015001.011.A,Doryteuthis pealeii,longfin inshore squid,11,366,NA
BOF2015001.012.A,Halocynthia pyriformis,sea peach,1,6,NA
BOF2015001.013.D,Gadus morhua,Atlantic cod,1,1448,NA
BOF2015001.014.D,Pseudopleuronectes americanus,winter flounder,25,2187,NA
BOF2015001.015.D,Merluccius bilinearis,silver hake,189,8176,NA
BOF2015001.016.D,Urophycis tenuis,white hake,14,1521,NA
BOF2015001.017.D,Urophycis chuss,red hake,8,831,NA
BOF2015001.018.D,Myoxocephalus octodecemspinosus,longhorn sculpin,7,962,NA
BOF2015001.019.D,Isodictya sp.,palmate sponge,1,52,NA
BOF2015001.001.D,Homarus americanus,American lobster,37,15022,NA
BOF2015001.002.D,Alosa pseudoharengus,alewife,11,590,NA
BOF2015001.003.D,Osmerus mordax,smelt,7,178,NA
BOF2015001.004.D,Clupea harengus,herring,9,196,NA
BOF2015001.005.D,Peprilus triacanthus,butterfish,3,72,NA
BOF2015001.006.D,Enchelyopus cimbrius,fourbeard rockling,12,502,NA
BOF2015001.007.D,Hyas araneus,Atlantic lyre crab,5,30,NA
BOF2015001.008.D,Placopecten magellanicus,deep sea scallop,2,10,NA
BOF2015001.009.D,unidentified bivalve sp.,unidentified bivalve,2,10,NA
BOF2015001.01.D,Microgadus tomcod,Atlantic tomcod,1,6,NA
BOF2015001.011.D,Melanogrammus aeglefinus,haddock,1,10,NA
BOF2015001.012.D,Pandalus montagui,Montague shrimp,667,3734,NA
BOF2015001.013.D,Boltenia ovifera,stalked sea squirt,1,54,NA
BOF2015001.014.D,Unidentified tunicate,Unidentified tunicate,2,42,NA
BOF2015001.015.D,Bolinopsis infundibulum,comb jelly,3,12,NA
BOF2015001.016.D,Aurelia aurita,moon jelly,3,86,NA
BOF2015001.017.D,Staurostoma mertensii,whitecross jelly,10,198,NA
BOF2015001.018.D,Homarus americanus,American lobster,10,7886,NA
BOF2015001.019.D,Placopecten magellanicus,deep sea scallop,2,32,NA
BOF2015001.02.D,Peprilus triacanthus,butterfish,44,1491,NA
BOF2015001.001.D,Alosa pseudoharengus,alewife,17,726,NA
BOF2015001.002.D,Lophius americanus,monkfish,1,442,NA
BOF2015001.003.D,Hyas araneus,Atlantic lyre crab,2,88,NA
BOF2015001.004.D,Cancer irroratus,rock crab,1,52,NA
BOF2015001.005.D,Urophycis chuss,red hake,12,720,NA
BOF2015001.006.D,Urophycis tenuis,white hake,3,55,NA
BOF2015001.007.D,Alosa sapidissima,shad,1,62,NA
BOF2015001.008.D,Doryteuthis pealeii,longfin inshore squid,3,159,NA
BOF2015001.009.D,Pandalus montagui,Montague shrimp,116,629,NA
BOF2015001.01.D,Ctenodiscus crispatus,mud star,23,190,NA
BOF2015001.011.D,Aurelia aurita,moon jelly,3,110,NA
BOF2015001.012.D,Staurostoma mertensii,whitecross jelly,2,55,NA
BOF2015001.013.D,Hippoglossus hippoglossus,Atlantic halibut,1,4180,NA
BOF2015001.014.D,Cyanea capillata,lion's mane jelly,3,5985,NA
BOF2015001.015.D,Hippoglossoides platessoides,American plaice,46,3105,NA
BOF2015001.016.D,Pseudopleuronectes americanus,winter flounder,21,4668,NA
BOF2015001.017.D,Merluccius bilinearis,silver hake,32,2754,NA
BOF2015001.018.D,Clupea harengus,herring,312,7509,NA
BOF2015001.019.C,Scomber scombrus,mackerel,26,4234,NA
BOF2015001.02.C,Merluccius bilinearis,silver hake,28,1423,NA
BOF2015001.021.C,Clupea harengus,herring,551,7690,NA
BOF2015001.022.C,Myoxocephalus octodecemspinosus,longhorn sculpin,3,309,NA
BOF2015001.001.C,Peprilus triacanthus,butterfish,5,151,NA
BOF2015001.002.C,Doryteuthis pealeii,longfin inshore squid,9,302,NA
BOF2015001.003.C,Melanogrammus aeglefinus,haddock,1,15,NA
BOF2015001.004.C,Urophycis chuss,red hake,4,283,NA
BOF2015001.005.C,Homarus americanus,American lobster,36,27646,NA
BOF2015001.006.C,Osmerus mordax,smelt,18,515,NA
BOF2015001.007.C,Alosa pseudoharengus,alewife,157,9605,NA
BOF2015001.008.C,Pseudopleuronectes americanus,winter flounder,73,3805,NA
BOF2015001.009.C,Urophycis tenuis,white hake,3,80,NA
BOF2015001.01.C,Crangon septemspinosa,sand shrimp,1,2,NA
BOF2015001.011.C,Ophiopholis aculeata,daisy brittle star,4,4,NA
BOF2015001.012.C,unidentified encrusting sponge,unidentified encrusting sponge,21,1815,NA
BOF2015001.013.C,Aurelia aurita,moon jelly,2,58,NA
BOF2015001.014.C,Mercenaria mercenaria,quahog,6,79,NA
BOF2015001.015.C,Clinocardium ciliatum,Iceland cockle,2,15,NA
BOF2015001.016.C,Cancer borealis,Jonah crab,1,315,NA
BOF2015001.017.C,Cancer irroratus,rock crab,5,548,NA
BOF2015001.018.C,Homarus americanus,American lobster,28,30668,NA
BOF2015001.019.C,Alosa pseudoharengus,alewife,13,635,NA
BOF2015001.02.C,Clupea harengus,herring,503,8074,NA
BOF2015001.021.C,Pseudopleuronectes americanus,winter flounder,191,9154,NA
BOF2015001.022.C,Peprilus triacanthus,butterfish,5,176,NA
BOF2015001.023.C,Scomber scombrus,mackerel,4,682,NA
BOF2015001.024.C,Paralichthys dentatus,summer flounder,2,347,NA
BOF2015001.025.C,Scophthalmus aquosus,windowpane flounder,2,199,NA
BOF2015001.026.C,Melanogrammus aeglefinus,haddock,2,15,NA
BOF2015001.001.C,Hippoglossoides platessoides,American plaice,1,28,NA
BOF2015001.002.C,Urophycis chuss,red hake,2,382,NA
BOF2015001.003.C,Crangon septemspinosa,sand shrimp,3,11,NA
BOF2015001.004.C,Aurelia aurita,moon jelly,12,329,NA
BOF2015001.005.C,Merluccius bilinearis,silver hake,49,2801,NA
BOF2015001.006.C,Osmerus mordax,smelt,44,1471,NA
BOF2015001.007.C,Doryteuthis pealeii,longfin inshore squid,1,43,NA
BOF2015001.008.C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,160,NA
BOF2015001.009.C,Asterias vulgaris,northern sea star,5,542,NA
BOF2015001.01.C,unidentified encrusting sponge,unidentified encrusting sponge,1,95,NA
BOF2015001.011.C,Clinocardium ciliatum,Iceland cockle,1,8,NA
BOF2015001.012.C,Cancer irroratus,rock crab,8,890,NA
BOF2015001.013.B,Scomber scombrus,mackerel,24,3860,NA
BOF2015001.014.B,Clupea harengus,herring,60,1129,NA
BOF2015001.015.B,Peprilus triacanthus,butterfish,205,6535,NA
BOF2015001.016.B,Doryteuthis pealeii,longfin inshore squid,63,2439,NA
BOF2015001.017.B,Pseudopleuronectes americanus,winter flounder,50,3617,NA
BOF2015001.018.B,Asterias vulgaris,northern sea star,4,412,NA
BOF2015001.019.B,Cuaudina arenata,rat-tailed sea cucumber,1,19,NA
BOF2015001.02.B,Crangon septemspinosa,sand shrimp,14,41,NA
BOF2015001.021.B,Pandalus montagui,Montague shrimp,2,5,NA
BOF2015001.022.B,Mercenaria mercenaria,quahog,6,90,NA
BOF2015001.001.B,Placopecten magellanicus,deep sea scallop,1,250,NA
BOF2015001.002.B,Cancer irroratus,rock crab,2,110,NA
BOF2015001.003.B,Aurelia aurita,moon jelly,6,120,NA
BOF2015001.004.B,Alosa sapidissima,shad,2,305,NA
BOF2015001.005.B,Urophycis tenuis,white hake,1,151,NA
BOF2015001.006.B,Urophycis chuss,red hake,1,260,NA
BOF2015001.007.B,Merluccius bilinearis,silver hake,5,609,NA
BOF2015001.001.B,Homarus americanus,American lobster,107,53811,NA
BOF2015001.002.B,Osmerus mordax,smelt,28,857,NA
BOF2015001.003.B,Alosa pseudoharengus,alewife,255,24732,NA
BOF2015001.004.B,Homarus americanus,American lobster,290,100607,NA
BOF2015001.005.B,Alosa pseudoharengus,alewife,200,25238,NA
BOF2015001.006.B,Pseudopleuronectes americanus,winter flounder,233,11906,NA
BOF2015001.007.B,Urophycis tenuis,white hake,104,2179,NA
BOF2015001.008.B,Cancer irroratus,rock crab,4,882,NA
BOF2015001.009.B,Urophycis chuss,red hake,31,735,NA
BOF2015001.001.B,Peprilus triacanthus,butterfish,38,1695,NA
BOF2015001.002.B,Osmerus mordax,smelt,77,1463,NA
BOF2015001.003.B,Myoxocephalus octodecemspinosus,longhorn sculpin,88,6797,NA
BOF2015001.004.B,Pandalus montagui,Montague shrimp,1568,6585,NA
BOF2015001.005.B,Scophthalmus aquosus,windowpane flounder,5,91,NA
BOF2015001.006.B,Hippoglossoides platessoides,American plaice,7,289,NA
BOF2015001.007.B,Sebastes fasciatus,Acadian redfish,1,22,NA
BOF2015001.008.B,Zoarces americanus,ocean pout,1,32,NA
BOF2015001.009.B,Doryteuthis pealeii,longfin inshore squid,25,828,NA
BOF2015001.01.B,Cucumaria frondosa,orange-footed sea cucumber,1936,85475,NA
BOF2015001.011.B,Pandalus borealis,northern shrimp,9,107,NA
BOF2015001.012.B,Henricia sanguinolenta,blood star,2,3,NA
BOF2015001.001.B,Strongylocentrotus droebachiensis,green sea urchin,25,933,NA
BOF2015001.002.B,Asterias vulgaris,northern sea star,2,155,NA
BOF2015001.003.B,Aurelia aurita,moon jelly,5,210,NA
BOF2015001.004.B,Mercenaria mercenaria,quahog,1,16,NA
BOF2015001.005.B,Crangon septemspinosa,sand shrimp,33,100,NA
BOF2015001.006.B,Placopecten magellanicus,deep sea scallop,25,74,NA
BOF2015001.007.A,Homarus americanus,American lobster,3,617,NA
BOF2015001.008.A,Cancer irroratus,rock crab,1,77,NA
BOF2015001.009.A,Alosa pseudoharengus,alewife,179,8656,NA
BOF2015001.01.A,Cucumaria frondosa,orange-footed sea cucumber,2,325,NA
BOF2015001.011.A,Triglops murrayi,moustache sculpin,1,6,NA
BOF2015001.012.A,Osmerus mordax,smelt,431,11500,NA
BOF2015001.013.A,Pseudopleuronectes americanus,winter flounder,4,133,NA
BOF2015001.014.A,Merluccius bilinearis,silver hake,6,248,NA
BOF2015001.015.A,Sclerocrangon boreas,sculptured shrimp,1,9,NA
BOF2015001.016.A,Metridium senile,frilled anemone,3,98,NA
BOF2015001.017.A,Doryteuthis pealeii,longfin inshore squid,17,675,NA
BOF2015001.018.A,Urticina felina,northern red anemone,1,8,NA
BOF2015001.019.A,Strongylocentrotus droebachiensis,green sea urchin,9,250,NA
BOF2015001.001.D,Pandalus montagui,Montague shrimp,115,367,NA
BOF2015001.002.D,Alosa pseudoharengus,alewife,100,2585,NA
BOF2015001.003.D,Clupea harengus,herring,48,880,NA
BOF2015001.004.D,Hippoglossoides platessoides,American plaice,4,173,NA
BOF2015001.005.D,Scophthalmus aquosus,windowpane flounder,1,78,NA
BOF2015001.006.D,Melanogrammus aeglefinus,haddock,3,35,NA
BOF2015001.007.D,Alosa sapidissima,shad,1,79,NA
BOF2015001.008.D,Scomber scombrus,mackerel,1,186,NA
BOF2015001.009.D,Urophycis tenuis,white hake,3,306,NA
BOF2015001.01.D,Glyptocephalus cynoglossus,witch flounder,1,12,NA
BOF2015001.011.D,Doryteuthis pealeii,longfin inshore squid,1,62,NA
BOF2015001.012.D,Merluccius bilinearis,silver hake,17,1289,NA
BOF2015001.013.D,Clupea harengus,herring,20,566,NA
BOF2015001.014.D,Peprilus triacanthus,butterfish,34,1169,NA
BOF2015001.015.D,Urophycis tenuis,white hake,36,1766,NA
BOF2015001.016.D,Pandalus montagui,Montague shrimp,2021,7530,NA
BOF2015001.017.D,Cuaudina arenata,rat-tailed sea cucumber,1,7,NA
BOF2015001.018.D,Pandalus borealis,northern shrimp,27,187,NA
BOF2015001.019.D,Homarus americanus,American lobster,13,19312,NA
BOF2015001.02.D,Merluccius bilinearis,silver hake,39,2417,NA
BOF2015001.001.D,Pseudopleuronectes americanus,winter flounder,15,3326,NA
BOF2015001.002.D,Cancer borealis,Jonah crab,2,328,NA
BOF2015001.003.D,Cancer irroratus,rock crab,2,398,NA
BOF2015001.004.D,Myoxocephalus octodecemspinosus,longhorn sculpin,1,241,NA
BOF2015001.005.D,Melanogrammus aeglefinus,haddock,7,472,NA
BOF2015001.006.D,Enchelyopus cimbrius,fourbeard rockling,1,38,NA
BOF2015001.007.D,Alosa pseudoharengus,alewife,6,247,NA
BOF2015001.008.D,Reinhardtius hippoglossoides,Greenland halibut,1,165,NA
BOF2015001.009.D,Hippoglossoides platessoides,American plaice,27,994,NA
BOF2015001.01.D,Placopecten magellanicus,deep sea scallop,2,3,NA
BOF2015001.011.D,Ophiopholis aculeata,daisy brittle star,1,2,NA
BOF2015001.012.D,Ctenodiscus crispatus,mud star,2,6,NA
BOF2015001.013.D,Microgadus tomcod,Atlantic tomcod,1,25,NA
BOF2015001.014.D,Merluccius bilinearis,silver hake,537,33844,NA
BOF2015001.015.D,Urophycis tenuis,white hake,32,1825,NA
BOF2015001.016.D,Clupea harengus,herring,11,933,NA
BOF2015001.017.D,Pandalus borealis,northern shrimp,24,202,NA
BOF2015001.018.D,Pandalus montagui,Montague shrimp,376,1864,NA
BOF2015001.019.D,Ctenodiscus crispatus,mud star,2,9,NA
BOF2015001.02.D,Ophiopholis aculeata,daisy brittle star,45,44,NA
BOF2015001.021.D,Placopecten magellanicus,deep sea scallop,5,30,NA
BOF2015001.022.D,Bolinopsis infundibulum,comb jelly,1,1,NA
BOF2015001.001.D,Cyclopterus lumpus,lumpfish,2,251,NA
BOF2015001.002.D,Homarus americanus,American lobster,10,13985,NA
BOF2015001.003.D,Myoxocephalus octodecemspinosus,longhorn sculpin,13,2422,NA
BOF2015001.004.D,Hemitripterus americanus,sea raven,1,246,NA
BOF2015001.005.D,Peprilus triacanthus,butterfish,6,722,NA
BOF2015001.006.D,Hippoglossoides platessoides,American plaice,7,340,NA
BOF2015001.007.D,Alosa sapidissima,shad,1,146,NA
BOF2015001.008.D,Doryteuthis pealeii,longfin inshore squid,1,120,NA
BOF2015001.009.D,Cancer irroratus,rock crab,2,89,NA
BOF2015001.01.D,Hyas coarctatus,Atlantic lyre crab,1,3,NA
BOF2015001.011.D,Sebastes fasciatus,Acadian redfish,2,509,NA
BOF2015001.012.D,Alosa pseudoharengus,alewife,31,2084,NA
BOF2015001.013.D,Melanogrammus aeglefinus,haddock,3,61,NA
BOF2015001.014.D,Urophycis chuss,red hake,2,163,NA
BOF2015001.015.D,Glyptocephalus cynoglossus,witch flounder,1,89,NA
BOF2015001.016.D,Zoarces americanus,ocean pout,1,160,NA
BOF2015001.017.D,Microgadus tomcod,Atlantic tomcod,1,7,NA
BOF2015001.018.D,Pseudopleuronectes americanus,winter flounder,67,9661,NA
BOF2015001.019.A,Homarus americanus,American lobster,28,14286,NA
BOF2015001.02.A,Cancer irroratus,rock crab,3,362,NA
BOF2015001.021.A,Cancer borealis,Jonah crab,1,160,NA
BOF2015001.022.A,Hyas coarctatus,Atlantic lyre crab,2,21,NA
BOF2015001.023.A,Placopecten magellanicus,deep sea scallop,2,363,NA
BOF2015001.024.A,Cucumaria frondosa,orange-footed sea cucumber,5,870,NA
BOF2015001.025.A,Strongylocentrotus droebachiensis,green sea urchin,14,488,NA
BOF2015001.026.A,Metridium senile,frilled anemone,2,61,NA
BOF2015001.001.A,Urticina felina,northern red anemone,2,68,NA
BOF2015001.002.A,Myoxocephalus octodecemspinosus,longhorn sculpin,1,25,NA
BOF2015001.003.A,Zoarces americanus,ocean pout,1,77,NA
BOF2015001.004.A,Urophycis tenuis,white hake,1,58,NA
BOF2015001.005.A,Urophycis chuss,red hake,1,31,NA
BOF2015001.006.A,Peprilus triacanthus,butterfish,1,41,NA
BOF2015001.007.A,Melanogrammus aeglefinus,haddock,1,36,NA
BOF2015001.008.A,Pseudopleuronectes americanus,winter flounder,3,67,NA
BOF2015001.009.A,Sclerocrangon boreas,sculptured shrimp,19,180,NA
BOF2015001.01.A,Pollachius virens,pollock,1,26,NA
BOF2015001.011.A,Microgadus tomcod,Atlantic tomcod,1,26,NA
BOF2015001.012.A,Crangon septemspinosa,sand shrimp,1,4,NA
BOF2015001.013.A,Pandalus montagui,Montague shrimp,4,12,NA
BOF2015001.014.A,Lepiodonotus squamatus,scale worm,1,1,NA
BOF2015001.015.A,unidentified polychaete,unidentified polychaete,1,1,NA
BOF2015001.016.A,Pseudopleuronectes americanus,winter flounder,6,167,NA
BOF2015001.017.A,Doryteuthis pealeii,longfin inshore squid,42,1984,NA
BOF2015001.018.A,Alosa pseudoharengus,alewife,320,11852,NA
BOF2015001.019.A,Osmerus mordax,smelt,597,20701,NA
BOF2015001.02.A,Merluccius bilinearis,silver hake,67,4605,NA
BOF2015001.021.C,Scomber scombrus,mackerel,7,1351,NA
BOF2015001.022.C,Pseudopleuronectes americanus,winter flounder,124,8195,NA
BOF2015001.001.C,Merluccius bilinearis,silver hake,202,17409,NA
BOF2015001.002.C,Alosa pseudoharengus,alewife,894,71531,NA
BOF2015001.003.C,Cyclopterus lumpus,lumpfish,1,338,NA
BOF2015001.004.C,Homarus americanus,American lobster,47,41456,NA
BOF2015001.005.C,Cancer irroratus,rock crab,4,604,NA
BOF2015001.006.C,Cancer borealis,Jonah crab,1,216,NA
BOF2015001.007.C,Placopecten magellanicus,deep sea scallop,1,92,NA
BOF2015001.001.C,Hyas coarctatus,Atlantic lyre crab,2,18,NA
BOF2015001.002.C,Peprilus triacanthus,butterfish,10,488,NA
BOF2015001.003.C,Osmerus mordax,smelt,18,626,NA
BOF2015001.004.C,Scophthalmus aquosus,windowpane flounder,1,69,NA
BOF2015001.005.C,Doryteuthis pealeii,longfin inshore squid,7,325,NA
BOF2015001.006.C,Clupea harengus,herring,1,22,NA
BOF2015001.007.C,Melanogrammus aeglefinus,haddock,1,38,NA
BOF2015001.008.C,Urophycis chuss,red hake,19,1073,NA
BOF2015001.009.C,Urophycis tenuis,white hake,12,621,NA
BOF2015001.001.C,Halichondria sp.,Halichondria sp.,4,278,NA
BOF2015001.002.C,Ctenodiscus crispatus,mud star,2,7,NA
BOF2015001.003.C,Sclerocrangon boreas,sculptured shrimp,1,3,NA
BOF2015001.004.B,Homarus americanus,American lobster,117,76300,NA
BOF2015001.005.B,Cancer irroratus,rock crab,3,259,NA
BOF2015001.006.B,Myoxocephalus octodecemspinosus,longhorn sculpin,8,852,NA
BOF2015001.007.B,Alosa sapidissima,shad,4,371,NA
BOF2015001.008.B,Melanogrammus aeglefinus,haddock,1,42,NA
BOF2015001.009.B,Scophthalmus aquosus,windowpane flounder,7,247,NA
BOF2015001.01.B,Urophycis chuss,red hake,12,537,NA
BOF2015001.011.B,Urophycis tenuis,white hake,10,541,NA
BOF2015001.012.B,Doryteuthis pealeii,longfin inshore squid,8,268,NA
BOF2015001.001.B,Halichondria sp.,Halichondria sp.,1,207,NA
BOF2015001.002.B,Merluccius bilinearis,silver hake,9,758,NA
BOF2015001.003.B,Peprilus triacanthus,butterfish,131,3271,NA
BOF2015001.004.B,Alosa pseudoharengus,alewife,959,38381,NA
BOF2015001.005.B,Pseudopleuronectes americanus,winter flounder,65,3819,NA
BOF2015001.006.B,Crangon septemspinosa,sand shrimp,28,84,NA
BOF2015001.007.B,Pandalus montagui,Montague shrimp,14,52,NA
BOF2015001.008.B,Microgadus tomcod,Atlantic tomcod,1,12,NA
BOF2015001.009.B,Clupea harengus,herring,5,102,NA
BOF2015001.01.B,Asterias vulgaris,northern sea star,1,16,NA
BOF2015001.011.B,Mercenaria mercenaria,quahog,3,28,NA
BOF2015001.012.B,Placopecten magellanicus,deep sea scallop,1,4,NA
